,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,HomePlanet_Europa,HomePlanet_Mars,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,cabincomspe_AS,cabincomspe_BP,cabincomspe_BS,cabincomspe_CP,cabincomspe_CS,cabincomspe_DP,cabincomspe_DS,cabincomspe_EP,cabincomspe_ES,cabincomspe_FP,cabincomspe_FS,cabincomspe_GP,cabincomspe_GS,cabincomspe_TP,cabincomspe_TS,PassengerId
15,0,27.0,0,0.0,0.0,0.0,903.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0046_02
16,0,20.0,0,2.0,12.0,253.0,457.0,690.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0046_03
17,1,44.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0047_01
18,0,29.0,0,0.0,7708.0,243.0,569.0,343.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0047_02
19,0,40.0,0,26.0,1925.0,8.0,3144.0,63.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0047_03
20,0,30.0,0,0.0,878.0,26.0,3.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0048_01
21,0,14.0,0,0.0,0.0,0.0,1609.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0049_01
22,1,31.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0054_01
23,0,27.0,0,0.0,6977.0,0.0,4.0,1235.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0054_02
24,0,66.0,0,39.0,6452.0,0.0,1409.0,155.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0054_03
25,0,24.0,0,1784.0,8.0,18.0,18.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0055_01
26,0,19.0,0,293.0,3495.0,5273.0,118.0,422.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0057_01
27,1,36.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0059_01
28,0,21.0,0,0.0,619.0,12.0,3.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0060_01
29,1,18.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0063_01
30,1,26.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0065_01
31,0,19.0,0,598.0,0.0,30.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0075_01
32,1,48.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0079_01
33,0,23.0,0,14.0,870.0,0.0,0.0,23.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0080_01
34,0,24.0,0,483.0,0.0,87.0,214.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0083_01
35,0,19.0,0,0.0,20.0,135.0,265.0,367.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0087_01
36,1,24.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0089_01
37,0,27.0,0,66.0,1736.0,0.0,0.0,15.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0093_01
38,1,6.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0094_01
39,0,33.0,0,0.0,0.0,0.0,866.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0094_02
40,0,23.0,0,0.0,0.0,1235.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0095_01
41,0,30.0,0,1.0,0.0,1585.0,0.0,484.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0096_01
42,0,26.0,0,0.0,17.0,997.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0100_01
43,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0100_02
44,0,20.0,0,1.0,0.0,0.0,599.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0104_01
45,1,17.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0106_01
46,0,34.0,0,0.0,0.0,39.0,1.0,556.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0109_01
47,0,24.0,0,0.0,22.0,82.0,0.0,686.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0117_01
48,0,29.0,0,14.0,869.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0118_01
49,0,20.0,0,1037.0,1.0,2.0,0.0,1576.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0121_01
50,1,5.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0124_01
51,1,22.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0125_01
52,0,16.0,0,3966.0,2872.0,0.0,0.0,2458.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0125_02
53,1,7.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0130_01
54,0,36.0,0,0.0,0.0,571.0,36.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0131_01
55,0,26.0,0,46.0,315.0,2305.0,0.0,97.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0132_01
56,0,40.0,0,413.0,514.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0135_01
57,1,29.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0137_01
58,1,2.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0142_01
59,0,23.0,0,378.0,402.0,0.0,0.0,509.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0142_02
60,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0142_03
61,0,30.0,0,0.0,8853.0,6108.0,29.0,3523.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0143_01
62,0,56.0,0,0.0,44.0,23.0,723.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0145_01
63,1,36.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0150_01
64,1,56.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0150_02
65,0,19.0,0,32.0,0.0,521.0,0.0,223.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0153_01
66,1,39.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0154_01
67,0,38.0,0,2.0,26.0,148.0,1213.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0155_01
68,0,26.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0156_01
69,0,35.0,0,0.0,463.0,0.0,1502.0,585.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0157_01
70,0,26.0,0,832.0,0.0,0.0,21.0,136.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0158_01
71,0,31.0,0,0.0,0.0,705.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0158_02
72,0,38.0,0,0.0,3.0,0.0,756.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0159_01
73,0,27.0,0,0.0,11.0,0.0,0.0,1172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0161_01
74,1,30.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0162_01
75,0,22.0,0,0.0,772.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0166_01
76,1,29.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0168_01
77,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0175_01
78,0,8.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0175_02
79,1,3.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0175_03
80,1,27.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0175_04
81,0,9.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0175_05
82,0,29.0,0,362.0,15.0,0.0,0.0,450.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0176_01
83,0,18.0,0,756.0,116.0,0.0,1.0,58.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0180_01
84,0,22.0,0,197.0,0.0,1175.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0184_01
85,0,24.0,0,6.0,11.0,1404.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0185_01
86,1,25.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0187_01
87,0,36.0,0,261.0,0.0,206.0,465.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0191_01
88,1,14.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0194_01
89,1,24.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0194_02
90,0,26.0,1,0.0,275.0,0.0,4572.0,163.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0194_03
91,0,29.0,0,1669.0,2.0,242.0,155.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0204_01
92,0,40.0,0,44.0,0.0,565.0,0.0,18.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0208_01
93,0,36.0,0,33.0,0.0,0.0,12767.0,1193.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0209_01
94,0,46.0,0,717.0,516.0,4.0,2.0,2439.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0214_01
95,0,42.0,0,4762.0,20.0,0.0,4.0,41.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0214_02
96,1,23.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0215_01
97,0,19.0,0,741.0,12.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0218_01
98,0,25.0,0,3.0,3833.0,8098.0,1531.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0226_01
99,0,22.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0227_01
100,1,35.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0228_01
101,0,39.0,0,0.0,25273.0,0.0,13.0,1714.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0228_02
102,1,42.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0228_03
103,0,35.0,0,0.0,1442.0,0.0,1813.0,6439.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0228_04
104,1,29.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0230_01
105,0,20.0,0,786.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0230_02
106,1,25.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0235_01
107,1,36.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0236_01
108,0,39.0,0,2556.0,0.0,22.0,0.0,0.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0238_01
109,1,23.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0247_01
110,1,19.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0247_02
111,0,50.0,0,0.0,0.0,78.0,751.0,78.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0249_01
112,0,41.0,0,0.0,0.0,728.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0256_01
113,0,19.0,0,1.0,0.0,2839.0,85.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0259_01
114,0,20.0,0,186.0,0.0,0.0,602.0,100.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0262_01
115,1,19.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0264_01
116,1,38.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0264_02
117,0,32.0,0,1340.0,0.0,0.0,8517.0,1256.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0264_03
118,0,44.0,0,696.0,0.0,462.0,46.0,94.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0266_01
119,0,18.0,0,1542.0,0.0,138.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0266_02
120,0,49.0,0,108.0,0.0,41.0,1560.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0268_01
121,0,23.0,0,3186.0,0.0,0.0,2.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0268_02
122,0,31.0,0,41.0,334.0,1.0,62.0,484.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0271_01
123,0,55.0,0,1054.0,0.0,2.0,0.0,1.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0272_01
124,0,60.0,0,60.0,0.0,7022.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0273_01
125,1,20.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0273_02
126,0,34.0,0,301.0,0.0,79.0,919.0,0.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0273_03
127,0,14.0,0,123.0,0.0,0.0,1936.0,22.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0274_01
128,1,26.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0274_02
129,0,19.0,0,0.0,86.0,0.0,368.0,4055.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0276_01
130,1,25.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0276_02
131,0,42.0,0,98.0,10.0,0.0,613.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0279_01
132,0,18.0,0,212.0,678.0,12.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0280_01
133,0,50.0,0,0.0,0.0,1299.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0284_01
134,0,26.0,0,0.0,0.0,0.0,1079.0,281.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0292_01
135,1,47.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0293_01
136,0,35.0,0,0.0,627.0,0.0,44.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0295_01
137,0,58.0,0,73.0,0.0,422.0,978.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0296_01
138,0,20.0,0,376.0,0.0,242.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0299_01
139,0,28.0,0,5.0,11549.0,132.0,4966.0,524.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0300_01
140,1,12.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0308_01
141,0,20.0,0,0.0,0.0,0.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0311_01
142,1,22.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0312_01
143,0,31.0,0,0.0,34.0,81.0,0.0,608.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0317_01
144,1,24.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0318_01
145,0,17.0,0,1031.0,0.0,1026.0,42.0,0.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0319_01
146,1,26.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0319_02
147,1,18.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0323_01
148,0,48.0,0,0.0,755.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0325_01
149,0,38.0,0,3.0,1252.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0328_01
150,1,33.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0329_01
151,1,20.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0332_01
152,0,22.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0335_01
153,0,52.0,0,356.0,34.0,288.0,0.0,124.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0339_01
154,0,15.0,0,638.0,0.0,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0339_02
155,0,25.0,0,10.0,2.0,755.0,0.0,9.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0339_03
156,1,14.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0339_04
157,1,26.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0339_05
158,0,16.0,0,1395.0,0.0,0.0,21.0,522.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0339_06
159,0,48.0,0,1.0,0.0,259.0,308.0,450.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0339_07
160,0,36.0,0,0.0,69.0,0.0,0.0,796.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0339_08
161,0,19.0,0,0.0,74.0,610.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0342_01
162,1,43.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0342_02
163,1,32.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0344_01
164,0,54.0,0,0.0,8.0,4391.0,4882.0,7.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0344_02
165,0,33.0,0,0.0,1030.0,0.0,3490.0,5832.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0349_01
166,1,21.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0349_02
167,0,33.0,0,23.0,0.0,737.0,493.0,1373.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0349_03
168,1,28.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0349_04
169,0,23.0,0,0.0,1468.0,0.0,704.0,1193.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0349_05
170,0,26.0,0,8.0,67.0,0.0,393.0,1975.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0349_06
171,1,41.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0351_01
172,1,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0353_01
173,1,21.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0353_02
174,0,70.0,0,130.0,0.0,1247.0,0.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0354_01
175,0,20.0,0,0.0,1704.0,3.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0362_01
176,0,31.0,0,273.0,722.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0363_01
177,0,8.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0363_02
178,1,5.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0363_03
179,0,45.0,0,288.0,0.0,932.0,4.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0364_01
180,0,37.0,0,731.0,0.0,517.0,50.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0364_02
181,1,24.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0366_01
182,0,55.0,0,0.0,538.0,0.0,6.0,5288.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0367_01
